age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
19,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,32,United-States,<=50K
58,Private,11th,7,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States,<=50K
27,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
44,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K
35,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,<=50K
62,Private,9th,5,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,Dominican-Republic,<=50K
45,State-gov,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,<=50K
59,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,England,>50K
35,Private,HS-grad,9,Widowed,Other-service,Unmarried,Black,Male,0,0,40,United-States,<=50K
50,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1902,60,United-States,>50K
20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
28,Self-emp-not-inc,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
60,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,8,United-States,>50K
30,Local-gov,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
52,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,3781,0,40,Columbia,<=50K
39,Private,11th,7,Divorced,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
48,Local-gov,Masters,14,Widowed,Prof-specialty,Unmarried,White,Female,0,0,44,United-States,<=50K
19,Private,HS-grad,9,Never-married,Sales,Other-relative,Black,Female,0,1719,30,United-States,<=50K
31,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,Mexico,>50K
34,Private,12th,8,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,35,Mexico,<=50K
22,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,Mexico,<=50K
35,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,65,United-States,<=50K
33,Federal-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
20,State-gov,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
52,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
58,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,7688,0,50,United-States,>50K
47,State-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,8,United-States,>50K
21,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2001,25,United-States,<=50K
67,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
26,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,44,United-States,<=50K
23,Local-gov,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,45,United-States,<=50K
56,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Nicaragua,<=50K
62,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,United-States,<=50K
47,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
22,State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,15,United-States,<=50K
35,State-gov,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
56,Private,9th,5,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,>50K
52,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,>50K
33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3464,0,40,United-States,<=50K
73,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,16,United-States,>50K
32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
18,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,<=50K
44,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,80,Philippines,>50K
43,State-gov,Some-college,10,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
28,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,45,United-States,<=50K
30,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
57,Local-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,62,United-States,<=50K
27,Private,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,60,El-Salvador,<=50K
37,Private,7th-8th,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
61,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
27,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,64,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
63,Private,5th-6th,3,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,19,Philippines,<=50K
43,Local-gov,Masters,14,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,7430,0,60,United-States,>50K
40,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,60,United-States,>50K
31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
17,Private,11th,7,Never-married,Other-service,Own-child,Black,Female,0,0,25,United-States,<=50K
25,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
52,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
34,Private,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,2174,0,40,United-States,<=50K
55,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
44,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
36,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
22,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,28,United-States,<=50K
48,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K
34,Local-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,10,United-States,<=50K
19,Private,12th,8,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
50,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
45,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2829,0,60,United-States,<=50K
31,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,0,0,35,United-States,>50K
54,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
26,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,52,United-States,>50K
27,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,99,United-States,<=50K
29,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
17,Private,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,<=50K
50,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
44,Private,12th,8,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,40,South,<=50K
43,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
22,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,<=50K
45,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,50,United-States,>50K
25,Private,HS-grad,9,Never-married,Sales,Other-relative,White,Female,0,0,50,United-States,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States,>50K
42,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
22,Private,9th,5,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,30,United-States,<=50K
47,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States,>50K
47,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,42,United-States,<=50K
32,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,13550,0,60,United-States,>50K
62,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
54,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,5721,0,35,United-States,<=50K
49,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
27,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,40,United-States,<=50K
53,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
63,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
35,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
37,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K
41,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
40,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
54,Local-gov,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,42,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,42,United-States,<=50K
25,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
76,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,5556,0,13,United-States,>50K
25,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,3103,0,40,United-States,>50K
39,Self-emp-not-inc,Some-college,10,Divorced,Sales,Unmarried,White,Male,0,0,47,United-States,<=50K
38,Local-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,<=50K
46,Local-gov,Masters,14,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
17,Private,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
49,Private,Masters,14,Married-spouse-absent,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,India,<=50K
28,Private,9th,5,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K
36,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,37,United-States,>50K
20,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,0,0,40,United-States,<=50K
56,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,20,United-States,<=50K
50,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
17,Self-emp-inc,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
42,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,State-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,>50K
64,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
36,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K
64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298,0,45,United-States,>50K
60,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K
39,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,1602,30,United-States,<=50K
45,Self-emp-inc,Prof-school,15,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K
42,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,20,United-States,<=50K
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,15,United-States,<=50K
46,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,48,Cuba,>50K
63,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5013,0,15,United-States,<=50K
41,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K
31,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
31,Private,Bachelors,13,Widowed,Prof-specialty,Own-child,White,Male,0,0,35,United-States,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
54,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
55,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States,>50K
42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,United-States,>50K
27,Private,Some-college,10,Separated,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
66,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K
35,Private,11th,7,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
23,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1573,30,United-States,<=50K
64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,<=50K
44,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,30,United-States,<=50K
37,Private,11th,7,Separated,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
51,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,Iran,>50K
33,Private,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
19,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
64,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,99,United-States,<=50K
80,Private,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,<=50K
22,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
39,Private,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Columbia,<=50K
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,43,United-States,>50K
50,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,<=50K
45,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
51,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,11th,7,Never-married,Farming-fishing,Other-relative,White,Male,0,0,36,El-Salvador,<=50K
47,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
34,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,38,United-States,>50K
21,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50K
28,Private,10th,6,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,Mexico,<=50K
49,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
46,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
69,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K
21,Private,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Male,0,0,10,United-States,<=50K
46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,89,United-States,>50K
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
25,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,45,United-States,<=50K
21,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
81,Self-emp-not-inc,1st-4th,2,Widowed,Sales,Other-relative,White,Male,0,0,45,Mexico,<=50K
36,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
28,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,42,United-States,>50K
35,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K
38,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
38,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
47,State-gov,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K
34,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
29,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
46,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
